TIME;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);73,75;73,98;74,24;74,34;74,46;74,68;74,66;74,71;75,09;75,12;75,28;75,5;75,12;75,34;75,72;76,18;76,58;76,69;76,44;76,44;76,67;76,69;76,62;76,93;76,96;77,08;77,5;77,85;77,99;77,96;77,85;77,93;78,14;78,32;78,27;78,62;78,5;78,82;79,25;79,38;79,34;79,39;79,28;79,42;79,71;79,82;79,84;80,08;79,84;80,03;80,47;80,85;81,16;81,2;81,03;81,17;81,27;81,58;81,56;81,85;81,42;81,69;82,21;82,55;82,75;82,83;82,77;82,95;83,33;83,53;83,38;83,62;83,28;83,52;83,92;84,47;84,76;84,85;84,76;84,91;84,95;85,02;85,08;85,4;85,03;85,31;85,83;86,31;86,54;86,65;86,42;86,53;86,85;87,3;87,75;88,11;87,92;88,3;89,04;89,41;89,97;90,34;90,26;90,23;90,48;90,51;90,17;90,01;89,46;89,93;90,25;90,55;90,72;90,9;90,48;90,74;90,77;90,95;91,1;91,39;90,94;91,24;92,07;92,47;92,6;92,64;92,38;92,56;92,81;93,09;93,23;93,83;93,44;93,88;94,9;95,48;95,56;95,51;95,1;95,3;95,9;96,2;96,35;96,68;96,14;96,64;97,63;98,09;98;97,89;97,52;97,87;98,48;98,75;98,62;98,95;98,16;98,56;99,46;99,45;99,55;99,6;99,2;99,33;99,74;99,66;99,58;99,92;99,04;99,36;100,07;100,25;100,16;100,26;99,74;99,84;100,15;100,14;99,93;99,84;98,57;99,07;99,97;100,36;100,62;100,59;100,12;100,11;100,23;100,34;100,01;100,02;98,83;98,98;99,93;100,13;100,48;100,65;100,28;100,34;100,64;100,87;100,65;101,16;100,49;100,93;101,58;102,1;102,09;102,15;101,83;102,08;102,44;102,55;102,5;102,82;102,12;102,35;103,17;103,6;104,16;104,28;104,12;104,32;104,66;104,91;104,51;104,5;103,64;104,02;104,85;105,58;105,79;105,9;105,59;105,73;105,9;106,03;105,85;106,14;105,44;105,66;106,14;106,37;106,38;106,76;106,51;106,13;106,17;106,37;106,07;106,41;106,72;107;107,91;108,53;108,83;109,1;109,14;109,5;110,03;111;111,54;112,06;112,67;113,65;116,36;117,32;:
European Union - 27 countries (from 2020);71,8;72,1;72,42;72,59;72,76;73,06;73,24;73,34;73,76;73,91;74,13;74,44;74,31;74,59;75,01;75,52;75,94;76,08;75,93;75,91;76,17;76,3;76,32;76,68;76,86;77,02;77,44;77,81;77,94;77,89;77,8;77,84;78,05;78,26;78,24;78,6;78,64;78,96;79,41;79,54;79,5;79,58;79,47;79,56;79,88;80,03;80,11;80,36;80,3;80,5;80,98;81,39;81,69;81,75;81,62;81,74;81,86;82,2;82,15;82,43;82,02;82,32;82,87;83,25;83,43;83,52;83,46;83,63;84,06;84,3;84,15;84,39;84,1;84,35;84,79;85,35;85,61;85,67;85,58;85,67;85,7;85,76;85,82;86,12;85,8;86,07;86,61;87,15;87,38;87,48;87,31;87,38;87,75;88,21;88,71;89,06;88,94;89,27;90,08;90,4;90,96;91,3;91,22;91,08;91,28;91,35;90,97;90,85;90,32;90,73;91,08;91,41;91,51;91,69;91,19;91,42;91,44;91,63;91,76;92;91,51;91,79;92,68;93,06;93,18;93,2;92,93;93,06;93,35;93,63;93,74;94,28;93,81;94,2;95,37;95,88;95,94;95,89;95,41;95,55;96,14;96,49;96,63;96,95;96,39;96,88;98,01;98,45;98,36;98,3;97,84;98,17;98,82;99,05;98,87;99,17;98,34;98,69;99,69;99,64;99,72;99,81;99,36;99,44;99,85;99,75;99,65;99,98;99,05;99,34;100,13;100,28;100,18;100,27;99,72;99,78;100,13;100,09;99,9;99,79;98,46;99;100,01;100,42;100,7;100,66;100,14;100,08;100,24;100,35;99,97;99,97;98,71;98,85;99,89;100,12;100,49;100,66;100,24;100,25;100,56;100,82;100,53;101,04;100,35;100,75;101,43;101,97;101,9;101,97;101,61;101,81;102,17;102,29;102,17;102,49;101,75;101,94;102,88;103,32;103,9;104,03;103,86;103,97;104,35;104,62;104,11;104,08;103,22;103,57;104,5;105,26;105,44;105,57;105,22;105,31;105,49;105,67;105,42;105,76;105;105,22;105,7;105,93;105,94;106,31;106,06;105,69;105,73;105,92;105,63;105,97;106,27;106,55;107,46;108,08;108,38;108,65;108,68;109,04;109,57;110,54;111,07;111,59;112,2;113,18;115,87;116,83;:
European Union - 28 countries (2013-2020);71,83;72,12;72,41;72,6;72,76;73,04;73,15;73,23;73,67;73,79;74,01;74,27;74,06;74,32;74,72;75,21;75,66;75,79;75,58;75,61;75,86;75,95;75,95;76,27;76,4;76,54;76,94;77,3;77,44;77,4;77,29;77,35;77,57;77,77;77,75;78,09;78,05;78,37;78,79;78,93;78,9;78,95;78,85;78,97;79,27;79,42;79,48;79,73;79,62;79,81;80,23;80,62;80,92;80,96;80,82;80,95;81,06;81,38;81,37;81,67;81,26;81,54;82,05;82,41;82,61;82,69;82,65;82,84;83,21;83,43;83,3;83,54;83,24;83,49;83,88;84,42;84,72;84,81;84,72;84,86;84,9;84,97;85,06;85,39;85,02;85,29;85,81;86,3;86,53;86,64;86,41;86,52;86,84;87,28;87,74;88,1;87,92;88,29;89,03;89,4;89,97;90,34;90,27;90,24;90,48;90,51;90,17;90,01;89,47;89,93;90,25;90,56;90,72;90,91;90,49;90,75;90,77;90,96;91,11;91,39;90,95;91,24;92,07;92,47;92,6;92,64;92,38;92,56;92,81;93,08;93,23;93,82;93,44;93,87;94,9;95,48;95,56;95,5;95,09;95,29;95,89;96,19;96,34;96,67;96,12;96,62;97,62;98,08;98;97,89;97,52;97,87;98,47;98,74;98,61;98,94;98,16;98,56;99,46;99,45;99,55;99,6;99,2;99,33;99,74;99,66;99,58;99,92;99,04;99,36;100,07;100,25;100,16;100,26;99,74;99,84;100,15;100,14;99,93;99,84;98,57;99,07;99,97;100,36;100,62;100,59;100,12;100,11;100,23;100,34;100,01;100,02;98,83;98,98;99,93;100,13;100,48;100,65;100,28;100,34;100,64;100,87;100,65;101,16;100,49;100,93;101,58;102,1;102,09;102,15;101,83;102,08;102,44;102,55;102,5;102,82;102,12;102,35;103,17;103,6;104,16;104,28;104,12;104,32;104,66;104,91;104,51;104,5;103,64;104,02;104,85;105,58;105,79;105,9;105,59;105,73;105,9;106,03;105,85;106,14;105,44;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);75,13;75,37;75,6;75,67;75,76;76,04;76,14;76,2;76,5;76,52;76,68;76,96;76,63;76,86;77,27;77,73;78,1;78,21;78,03;77,97;78,18;78,24;78,19;78,54;78,63;78,76;79,21;79,56;79,71;79,67;79,59;79,64;79,84;80,03;79,97;80,36;80,3;80,62;81,08;81,21;81,15;81,25;81,13;81,25;81,54;81,66;81,7;81,95;81,75;81,94;82,46;82,88;83,14;83,18;83;83,17;83,26;83,59;83,53;83,85;83,32;83,62;84,25;84,6;84,78;84,87;84,78;84,98;85,42;85,64;85,45;85,74;85,35;85,59;86,09;86,66;86,89;86,96;86,85;86,93;86,93;87;87,03;87,37;86,92;87,17;87,75;88,31;88,52;88,61;88,39;88,45;88,78;89,21;89,69;90,05;89,7;90,02;90,9;91,19;91,76;92,11;91,97;91,84;92,01;92,04;91,59;91,47;90,71;91,08;91,42;91,75;91,8;91,98;91,38;91,69;91,71;91,92;92,03;92,32;91,57;91,85;92,87;93,25;93,35;93,35;92,95;93,14;93,43;93,71;93,79;94,36;93,68;94,08;95,35;95,88;95,89;95,88;95,33;95,51;96,21;96,55;96,63;96,96;96,17;96,65;97,9;98,36;98,22;98,15;97,63;98,01;98,72;98,95;98,76;99,11;98,08;98,44;99,6;99,51;99,62;99,73;99,2;99,32;99,8;99,68;99,6;99,95;98,83;99,14;100,07;100,22;100,11;100,22;99,57;99,68;100,12;100,06;99,88;99,78;98,24;98,85;100;100,43;100,71;100,72;100,11;100,12;100,32;100,45;100,01;100,03;98,56;98,73;99,96;100,17;100,59;100,77;100,28;100,34;100,72;100,96;100,6;101,13;100,26;100,66;101,49;102,07;101,98;102,08;101,62;101,89;102,29;102,34;102,14;102,49;101,56;101,78;102,91;103,32;103,97;104,09;103,85;104,01;104,42;104,68;104,1;104,05;102,97;103,3;104,35;105,1;105,24;105,41;104,91;105,06;105,29;105,44;105,1;105,43;104,37;104,56;105,13;105,43;105,33;105,69;105,32;104,88;104,96;105,15;104,8;105,15;105,32;105,54;106,53;107,14;107,42;107,7;107,6;107,98;108,49;109,41;109,9;110,37;110,7;111,74;114,46;115,11;116,07
Euro area - 19 countries  (from 2015);74,86;75,1;75,37;75,45;75,54;75,8;75,87;75,93;76,26;76,3;76,46;76,75;76,43;76,66;77,07;77,54;77,9;78,02;77,84;77,78;77,99;78,06;78,01;78,36;78,45;78,58;79,02;79,38;79,52;79,49;79,41;79,46;79,66;79,85;79,79;80,17;80,14;80,46;80,93;81,05;81;81,1;80,98;81,1;81,39;81,51;81,54;81,79;81,61;81,8;82,32;82,74;83,01;83,05;82,88;83,04;83,14;83,46;83,4;83,72;83,2;83,5;84,12;84,47;84,66;84,75;84,66;84,86;85,3;85,52;85,33;85,62;85,24;85,48;85,98;86,55;86,79;86,85;86,75;86,83;86,83;86,9;86,94;87,27;86,83;87,08;87,66;88,22;88,43;88,52;88,31;88,37;88,71;89,15;89,63;89,98;89,67;89,98;90,87;91,17;91,74;92,09;91,95;91,82;92;92,03;91,59;91,47;90,73;91,1;91,44;91,76;91,8;91,99;91,38;91,69;91,71;91,92;92,02;92,31;91,56;91,85;92,86;93,24;93,35;93,35;92,95;93,13;93,42;93,71;93,79;94,36;93,69;94,08;95,35;95,89;95,9;95,89;95,34;95,52;96,22;96,55;96,64;96,96;96,18;96,66;97,91;98,36;98,23;98,15;97,64;98,02;98,73;98,96;98,76;99,11;98,09;98,45;99,61;99,52;99,63;99,73;99,2;99,32;99,8;99,68;99,6;99,95;98,84;99,14;100,07;100,22;100,11;100,22;99,57;99,68;100,12;100,06;99,88;99,78;98,24;98,85;100;100,43;100,71;100,72;100,11;100,12;100,32;100,45;100,01;100,03;98,56;98,73;99,96;100,17;100,59;100,77;100,28;100,34;100,72;100,96;100,6;101,13;100,26;100,66;101,49;102,07;101,98;102,08;101,62;101,89;102,29;102,34;102,14;102,49;101,56;101,78;102,91;103,32;103,97;104,09;103,85;104,01;104,42;104,68;104,1;104,05;102,97;103,3;104,35;105,1;105,24;105,41;104,91;105,06;105,29;105,44;105,1;105,43;104,37;104,56;105,13;105,43;105,33;105,69;105,32;104,88;104,96;105,15;104,8;105,15;105,32;105,54;106,53;107,14;107,42;107,7;107,6;107,98;108,49;109,41;109,9;110,37;110,7;111,74;114,46;115,11;:
Euro area - 18 countries (2014);74,89;75,13;75,4;75,48;75,57;75,83;75,9;75,97;76,3;76,34;76,49;76,78;76,46;76,69;77,1;77,57;77,94;78,05;77,87;77,81;78,03;78,09;78,04;78,39;78,49;78,61;79,06;79,42;79,56;79,53;79,45;79,5;79,7;79,89;79,83;80,22;80,18;80,5;80,97;81,09;81,04;81,14;81,02;81,15;81,44;81,56;81,59;81,84;81,66;81,85;82,37;82,79;83,06;83,1;82,92;83,09;83,19;83,51;83,45;83,77;83,25;83,55;84,17;84,52;84,7;84,8;84,7;84,9;85,35;85,57;85,38;85,67;85,29;85,53;86,02;86,6;86,84;86,9;86,79;86,87;86,88;86,94;86,98;87,31;86,87;87,12;87,7;88,26;88,47;88,56;88,35;88,4;88,74;89,18;89,66;90,01;89,69;90,01;90,89;91,18;91,75;92,1;91,97;91,83;92,01;92,04;91,6;91,48;90,72;91,09;91,43;91,76;91,8;91,99;91,38;91,69;91,71;91,92;92,03;92,32;91,56;91,85;92,87;93,25;93,35;93,35;92,96;93,14;93,43;93,71;93,8;94,36;93,69;94,08;95,35;95,89;95,89;95,89;95,34;95,52;96,21;96,55;96,64;96,96;96,17;96,65;97,9;98,36;98,22;98,15;97,63;98,01;98,72;98,96;98,76;99,11;98,08;98,44;99,6;99,51;99,62;99,73;99,2;99,32;99,8;99,68;99,6;99,95;98,83;99,14;100,07;100,22;100,11;100,22;99,56;99,68;100,12;100,06;99,88;99,78;98,24;98,85;100;100,43;100,71;100,72;100,11;100,12;100,33;100,45;100,01;100,03;98,55;98,72;99,96;100,17;100,59;100,77;100,28;100,34;100,72;100,96;100,59;101,13;100,25;100,65;101,48;102,06;101,97;102,07;101,61;101,87;102,28;102,33;102,12;102,47;101,54;101,76;102,89;103,31;103,96;104,07;103,84;104;104,41;104,66;104,08;104,04;102,95;103,27;104,33;105,08;105,22;105,39;104,89;105,04;105,27;105,41;105,08;105,41;104,34;104,53;105,11;105,41;105,31;105,67;105,3;104,85;104,93;105,13;104,77;105,12;105,3;105,52;106,5;107,11;107,39;107,67;107,57;107,94;108,44;109,36;109,85;110,31;110,63;111,66;114,38;115,02;:
Belgium;72,66;74,14;74,49;74,63;74,84;75,12;74,35;75,47;76,04;75,9;76,04;75,83;74,64;75,98;76,12;76,8;77,2;77,34;76,37;77,38;77,49;77,4;77,4;77,29;76,61;77,86;78,04;78,09;78,2;77,99;77,25;78,33;78,41;78,34;78,23;78,32;77,51;79,16;79,38;79,24;78,93;79,18;78,32;79,64;79,75;79,51;79,64;79,6;78,59;80,05;80,11;80,57;80,82;80,75;79,92;81,27;81,19;81,58;81,45;81,2;80,14;81,86;82,39;82,55;82,65;82,93;82,1;83,59;83,56;83,44;83,4;83,44;82,33;84,22;84,16;84,63;84,93;85;84,09;85,54;85,13;84,88;85,06;85,17;83,73;85,71;85,71;86,14;86,04;86,1;85,19;86,52;86,36;86,76;87,5;87,82;86,68;88,82;89,47;89,65;90,43;91,06;90,21;91,16;91,07;90,92;90,32;90,19;88,5;90,54;90,04;90,31;90,21;90,1;88,65;90,51;90,14;90,12;90,3;90,49;89,2;91,28;91,75;92,16;92,48;92,5;90,81;92,67;92,78;92,91;93,02;93,55;92,31;94,48;94,8;95,05;95,2;95,52;94,46;95,86;95,77;95,9;96,28;96,53;95,34;97,65;97,75;97,8;97,71;97,59;96,33;98,35;98,27;98,45;98,37;98,54;96,74;99,14;99,14;98,98;98,9;99,19;97,91;99,43;99,26;99,15;99,25;99,69;97,82;99,97;99,94;99,74;99,59;99,74;98,43;99,83;99,46;99,47;99,31;99,3;97,2;99,56;99,82;100,11;100,43;100,6;99,27;100,58;100,36;100,62;100,7;100,74;98,99;100,67;101,46;101,65;102,04;102,4;101,3;102,59;102,15;102,56;102,46;102,96;102,03;104;103,99;104,35;104,02;103,95;103,13;104,64;104,15;104,44;104,61;105,08;103,82;105,53;105,56;106,01;106,38;106,68;105,93;107,41;107,1;107,8;107,63;107,39;105,69;107,62;107,86;108,11;108,16;108,09;107,21;108,34;107,7;108,01;108,02;108,38;107,17;108,74;108,32;108,1;107,92;108,33;109,05;107,38;108,21;108,47;108,27;108,76;107,82;109,08;110,07;110,32;110,62;111,11;110,58;112,41;112,35;114,33;115,95;115,93;116,99;119,49;120,28;120,61;121,55
Bulgaria;52,49;53,07;52,9;52,36;52,43;52,56;52,88;54,45;55,68;56,35;56,78;57,03;57,38;57,57;57,6;57,5;57,53;57,48;57,37;57,55;58,28;59,28;59,41;59,78;61,39;62,39;62,87;62,8;61,5;60,46;60,53;60,13;60,6;61,2;61,3;62,06;62,46;62,54;62,78;62,96;62,57;61,22;61,76;62,22;62,81;63,25;64,41;65,56;66,46;66,69;66,64;66,83;66,85;65,67;66,46;66,17;66,79;66,9;67,32;68,16;68,6;69,2;69,54;70,35;70,23;69,94;70,47;70,95;71,79;72,35;72,68;73,2;73,81;75,7;75,87;76,35;76,52;75,78;75,95;75,92;75,63;76,14;76,95;77,66;78,79;79,2;79,23;79,7;79,96;79,79;81,15;82,96;83,96;84,24;85,74;86,64;87,98;88,9;89,71;90,37;91,14;91,55;92,86;92,76;93,57;93,67;93,26;92,87;93,28;93,65;93,33;93,83;93,83;93,94;93,81;93,93;93,76;93,92;94,09;94,39;94,95;95,22;95,57;96,68;96,69;96,27;96,77;96,93;97,14;97,32;97,84;98,59;99,04;99,58;99,98;99,89;99,99;99,68;100,05;99,91;99,93;100,26;100,34;100,6;100,96;101,56;101,7;101,94;101,82;101,3;102,46;103,03;103,38;103,31;103,08;103,38;103,62;103,8;103,35;102,9;102,85;102,56;102,49;102,29;102,03;102,19;102,07;102,5;102,21;101,61;101,32;101,54;101,03;100,72;101,35;101,26;100,58;100,66;100,14;100,5;99,8;99,86;100,19;100,66;100,7;100,15;100,34;100,41;99,62;99,46;99,19;99,6;99,4;98,89;98,28;98,12;98,14;98,27;99,25;99,29;98,55;98,46;98,36;99,1;99,77;99,8;99,28;99,74;99,52;99,35;99,85;100,03;99,81;99,94;100,21;100,88;101,08;101,31;101,13;101,45;101,84;102,34;103,41;103,75;103,39;103,55;103,25;103,21;103,43;103,73;103,95;104,6;104,76;104,73;106,13;106,33;105,07;105,23;105,56;106,41;106,94;106,95;106,46;106,01;105,76;105,69;106,58;107,01;105,7;105,87;105,89;106,43;106,59;107,16;107,33;108,08;108,23;108,2;108,97;109,73;109,92;111,35;112,54;113,44;114,8;116,16;118,59;121,12;:
Czechia;73;73,1;73,1;73;73,2;73,7;74,3;74,4;74,2;74,4;74,5;74,6;76;76;76,1;76,4;76,9;77,6;78,3;78,2;77,6;77,6;77,4;77,5;78,6;78,6;78,6;78,6;78,5;78,3;78,5;78,4;77,9;77,7;77,6;77,6;78;78,2;78,1;78,3;78,3;78,3;78,3;78,2;77,9;78;78,2;78,4;79,6;79,7;79,8;79,9;80,3;80,5;80,7;80,7;80,1;80,5;80,4;80,3;80,8;80,8;80,8;81;81;81,5;81,8;81,8;81,7;82,4;82,1;81,9;82,8;82,8;82,7;82,9;83,3;83,4;83,7;83,9;83,5;83,1;82,9;83,1;83,9;84,1;84,4;85;85,3;85,6;85,9;86,1;85,9;86,4;87,2;87,6;90,5;90,6;90,4;90,8;91,1;91,3;91,7;91,5;91,3;91,4;90,8;90,5;91,8;91,8;92;91,9;92;92;91,6;91,5;91;90,9;90,9;91;92;92,1;92,3;92,7;92,9;92,8;93,1;92,9;92,7;92,4;92,6;93,1;93,8;93,9;94;94,2;94,7;94,7;94,9;94,8;94,7;94,9;95,3;95,7;97,4;97,6;97,9;97,9;98,1;98,3;98,1;98,1;98;98,3;98;98;99,3;99,3;99,4;99,6;99,3;99,8;99,5;99,3;99;99,1;99;99,5;99,6;99,6;99,7;99,7;99,8;99,8;100;100;99,8;99,9;99,6;99,5;99,5;99,6;99,8;100,2;100,5;100,7;100,5;100,2;100,1;100;99,6;99,4;100;100,1;100,1;100,7;100,5;100,6;101;100,8;100,6;100,8;101,2;101,5;102,3;102,7;102,7;102,8;103;103;103,4;103,2;103,1;103,6;103,7;103,7;104,4;104,3;104,3;104,6;105,1;105,5;105,7;105,7;105,3;105,7;105,4;105,4;106,5;106,8;107;107,1;107,8;108;108,4;108,5;108;108,5;108,6;108,8;110,5;110,8;110,8;110,6;111,1;111,7;112,3;112,3;111,6;111,7;111,6;111,4;112,9;113,1;113,3;114;114,1;114,5;115,3;115,8;116,1;117,1;117;117,4;122,8;124,4;126,8;129,1;:
