"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2000";5.3
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2001";10.4
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2002";4.9
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2003";4.0
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2004";-1.1
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2005";0.9
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2006";3.8
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2007";12.9
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2008";3.8
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2009";-1.1
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2010";2.2
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2011";4.9
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2012";4.7
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2013";2.2
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2014";-1.2
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2015";1.5
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2016";1.7
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2017";2.9
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2018";0.6
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2019";3.3
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2020";1.0
"Letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2021";3.9
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2000";2.7
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2001";9.4
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2002";15.5
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2003";11.6
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2004";4.3
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2005";4.4
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2006";4.9
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2007";6.6
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2008";2.0
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2009";8.0
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2010";8.1
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2011";4.9
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2012";9.4
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2013";3.0
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2014";4.0
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2015";0.1
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2016";0.4
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2017";3.0
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2018";0.4
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2019";1.9
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2020";3.2
"Letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2021";2.4
"Letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2000";5.2
"Letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2001";2.9
