MESEC;Meseèni indeks (mesec / prejšnji mesec);Letni indeks (mesec / isti mesec prejšnjega leta);Povpreèni letni indeks
2022M05;102;108,1;106,6
2022M04;102,6;106,9;106,2
2022M03;98,9;105,4;106
2022M02;101,4;106,9;106,3
2022M01;100,4;105,8;105,8
2021M12;100;104,9;101,9
2021M11;100,7;104,6;101,6
2021M10;100,9;103;101,4
2021M09;99,9;102,4;101,2
2021M08;100,1;102,1;101
2021M07;100,4;102;100,9
2021M06;100,6;101,4;100,7
2021M05;100,9;102,1;100,5
2021M04;101;102,1;100,1
2021M03;100,3;100,1;99,5
2021M02;100,3;99;99,2
2021M01;99,6;99,3;99,3
2020M12;99,7;98,9;99,9
2020M11;99,2;99,1;100
2020M10;100,3;99,9;100,1
2020M09;99,6;99,7;100,2
2020M08;99,9;99,9;100,2
2020M07;99,9;100,3;100,3
2020M06;101,3;99,7;100,3
2020M05;100,9;98,8;100,4
2020M04;99,1;98,8;100,8
2020M03;99,2;100,5;101,5
2020M02;100,7;102;102
2020M01;99,1;102,1;102,1
2019M12;99,8;101,8;101,6
2019M11;100,1;101,4;101,6
2019M10;100,1;101,4;101,6
2019M09;99,8;101,7;101,7
2019M08;100,4;102,3;101,7
2019M07;99,3;102;101,6
2019M06;100,3;101,8;101,5
2019M05;100,9;101,4;101,4
2019M04;100,8;101,7;101,4
2019M03;100,7;101,6;101,3
2019M02;100,8;101,2;101,2
2019M01;98,9;101,1;101,1
2018M12;99,4;101,4;101,7
2018M11;100,1;102;101,8
2018M10;100,3;102,2;101,7
2018M09;100,4;102;101,7
2018M08;100,1;101,8;101,7
2018M07;99,1;101,9;101,6
2018M06;100;102,1;101,6
2018M05;101,2;102;101,5
2018M04;100,7;101,5;101,4
2018M03;100,3;101,2;101,3
2018M02;100,7;101,2;101,4
2018M01;99,2;101,5;101,5
2017M12;100;101,7;101,4
2017M11;100,3;101,2;101,4
2017M10;100,1;101;101,4
2017M09;100,2;101,4;101,5
2017M08;100,1;101,2;101,5
2017M07;99,3;101;101,5
2017M06;100;100,9;101,6
2017M05;100,7;101,5;101,7
2017M04;100,3;101,8;101,8
2017M03;100,4;101,9;101,8
2017M02;101;102,2;101,8
2017M01;99,4;101,3;101,3
2016M12;99,5;100,5;99,9
2016M11;100,1;100,6;99,9
2016M10;100,5;100,6;99,8
2016M09;100,1;100,2;99,7
2016M08;100;100;99,7
2016M07;99,1;100,2;99,6
2016M06;100,6;100,3;99,5
2016M05;100,9;99,6;99,4
2016M04;100,4;99,4;99,3
2016M03;100,7;99,1;99,3
2016M02;100;99,3;99,4
2016M01;98,6;99,5;99,5
2015M12;99,6;99,5;99,5
2015M11;100,1;99,5;99,5
2015M10;100;99,2;99,5
2015M09;99,9;99,4;99,5
2015M08;100,1;99,7;99,5
2015M07;99,2;99,6;99,5
2015M06;99,9;99,3;99,5
2015M05;100,8;99,5;99,5
2015M04;100,1;99,3;99,5
2015M03;100,9;99,7;99,6
2015M02;100,2;99,6;99,6
2015M01;98,7;99,5;99,5
2014M12;99,5;100,2;100,2
2014M11;99,8;99,8;100,2
2014M10;100,2;99,9;100,3
2014M09;100,3;99,7;100,3
2014M08;100;99,7;100,4
2014M07;98,9;100;100,5
